steam_appid,name,developers,publishers,categories,genres,required_age,n_achievements,platforms,total_reviews,total_positive,total_negative,review_score,review_score_desc,positive_percentual,metacritic,is_free,price_initial (USD),current_player_count,release_date
2567870,Chained Together,['Anegar Games'],['Anegar Games'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Partial Controller Support', 'Remote Play Together', 'Family Sharing']","['Adventure', 'Casual', 'Indie', 'Simulation']",0,16,['windows'],16138,14865,1273,8.0,Very Positive,92.1,0,False,4.99,909,"19 Jun, 2024"
2519060,Call of Duty®: Modern Warfare® III,"['Sledgehammer Games', 'Treyarch', 'Infinity Ward', 'Beenox', 'Raven Software', 'High Moon Studios', 'Demonware']",['Activision'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Captions available', 'In-App Purchases']",['Action'],0,0,['windows'],6784,2015,4769,4.0,Mostly Negative,29.7,0,False,69.99,0,N/A
1063660,Bendy and the Dark Revival,['Joey Drew Studios'],['Joey Drew Studios'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure']",72,38,['windows'],6492,6038,454,8.0,Very Positive,93.0,72,False,29.99,38,N/A
1049410,Superliminal,['Pillow Castle'],['Pillow Castle'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Commentary available', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure']",0,27,"['windows', 'mac', 'linux']",12615,11840,775,8.0,Very Positive,93.9,0,False,19.99,309,N/A
1046030,ISLANDERS,"['Coatsink', 'GrizzlyGames', 'Stage Clear Studios']",['Coatsink'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Family Sharing']","['Casual', 'Indie', 'Strategy']",82,38,"['windows', 'mac']",9886,9414,472,9.0,Overwhelmingly Positive,95.2,82,False,4.99,23,"4 Apr, 2019"
1040200,Crime Scene Cleaner,['President Studio'],"['President Studio', 'PlayWay S.A.']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']","['Action', 'Simulation']",0,50,['windows'],7175,7029,146,9.0,Overwhelmingly Positive,98.0,0,False,19.99,821,N/A
1029780,Going Medieval,['Foxy Voxel'],['Mythwright'],"['Single-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Family Sharing']","['Indie', 'RPG', 'Simulation', 'Strategy', 'Early Access']",0,31,['windows'],7300,6583,717,8.0,Very Positive,90.2,0,False,24.99,641,N/A
1007040,EARTH DEFENSE FORCE 5,['SANDLOT'],['D3PUBLISHER'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']",['Action'],76,39,['windows'],5280,5064,216,9.0,Overwhelmingly Positive,95.9,76,False,59.99,295,N/A
1002300,Fear & Hunger,['Miro Haverinen'],['Happy Paintings'],"['Single-player', 'Partial Controller Support', 'Family Sharing']","['Adventure', 'Indie', 'RPG']",0,1,"['windows', 'mac']",7740,7254,486,8.0,Very Positive,93.7,0,False,7.99,180,N/A
996580,Spyro™ Reignited Trilogy,"['Toys for Bob', 'Iron Galaxy Studios']",['Activision'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure']",0,105,['windows'],7781,7212,569,8.0,Very Positive,92.7,0,False,39.99,152,N/A
985890,Streets of Rage 4,"['Dotemu', 'Guard Crush', 'Lizardcube']",['Dotemu'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']","['Action', 'Indie']",84,45,"['windows', 'mac', 'linux']",6389,5990,399,8.0,Very Positive,93.8,84,False,24.99,173,"30 Apr, 2020"
976730,Halo: The Master Chief Collection,"['343 Industries', 'Splash Damage', 'Ruffian Games', 'Bungie', 'Saber Interactive']",['Xbox Game Studios'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",['Action'],0,700,['windows'],147948,136631,11317,8.0,Very Positive,92.4,0,False,39.99,6743,N/A
972660,Spiritfarer®: Farewell Edition,['Thunder Lotus Games'],['Thunder Lotus Games'],"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']","['Adventure', 'Indie', 'Simulation']",84,39,"['windows', 'mac', 'linux']",15618,14898,720,9.0,Overwhelmingly Positive,95.4,84,False,29.99,695,N/A
967050,Pacify,['Shawn Hitchcock'],['Hitchcock Games'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards', 'Family Sharing']","['Action', 'Adventure', 'Casual', 'Indie', 'Strategy']",0,52,"['windows', 'mac']",10746,9460,1286,8.0,Very Positive,88.0,0,False,4.99,120,N/A
960990,Beyond: Two Souls,['Quantic Dream'],['Quantic Dream'],"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing']","['Action', 'Adventure']",76,45,['windows'],5133,4354,779,8.0,Very Positive,84.8,76,False,19.99,218,N/A
953490,CARRION,['Phobia Game Studio'],['Devolver Digital'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure', 'Indie']",75,21,"['windows', 'mac', 'linux']",13822,13121,701,8.0,Very Positive,94.9,75,False,19.99,64,"23 Jul, 2020"
930210,HuniePop 2: Double Date,['HuniePot'],['HuniePot'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Family Sharing']","['Indie', 'RPG', 'Simulation', 'Strategy']",0,20,"['windows', 'mac']",7266,6659,607,8.0,Very Positive,91.6,0,False,19.99,106,N/A
