steam_appid,release_date
2567870,"19 Jun, 2024"
2519060,N/A
1063660,N/A
1049410,N/A
1046030,"4 Apr, 2019"
1040200,N/A
1029780,N/A
1007040,N/A
1002300,N/A
996580,N/A
985890,"30 Apr, 2020"
976730,N/A
972660,N/A
967050,N/A
960990,N/A
953490,"23 Jul, 2020"
930210,N/A
927380,N/A
914620,N/A
913740,N/A
750920,"14 Sep, 2018"
22330,N/A
892970,"2 Feb, 2021"
885970,N/A
880940,N/A
872670,N/A
870780,"27 Aug, 2020"
861540,N/A
858810,N/A
1943950,N/A
1929610,N/A
1928980,N/A
1888160,"24 Aug, 2023"
1850570,N/A
1846170,N/A
1473350,N/A
1462040,"17 Jun, 2022"
1449690,N/A
1443200,N/A
367450,N/A
367520,N/A
366090,N/A
362680,N/A
362890,"6 Mar, 2020"
362930,"16 Oct, 2015"
362960,"10 Nov, 2016"
362490,"29 Apr, 2015"
362620,"1 May, 2015"
360430,"19 May, 2020"
359320,"2 Apr, 2015"
354140,"2 Mar, 2015"
350080,"4 May, 2015"
344760,"15 Dec, 2015"
343780,"19 Jan, 2015"
341940,"1 Jun, 2015"
339800,"19 Jan, 2015"
337320,"29 Jul, 2021"
335300,"1 Apr, 2015"
334230,"15 Dec, 2014"
333640,"5 Dec, 2024"
332800,"10 Nov, 2014"
332570,"21 Nov, 2014"
330020,"3 Sep, 2019"
322170,"22 Dec, 2014"
313120,"10 Aug, 2022"
312530,"4 Jun, 2015"
311340,"18 Dec, 2014"
307690,"8 Oct, 2014"
304650,"6 Feb, 2015"
298630,"13 Feb, 2015"
294860,"11 Nov, 2014"
292730,"3 Nov, 2016"
292120,"9 Oct, 2014"
288470,"12 Sep, 2014"
287700,"1 Sep, 2015"
287980,"6 Nov, 2015"
288160,"28 Jul, 2014"
287290,"24 Feb, 2015"
287390,"25 Aug, 2014"
287450,"12 Jun, 2014"
286690,"25 Aug, 2014"
282900,"29 Jan, 2015"
282140,"21 Sep, 2015"
278360,"28 May, 2014"
274190,"15 Oct, 2015"
273350,"10 Feb, 2015"
268130,"21 Sep, 2017"
266840,"8 May, 2014"
265550,"5 Sep, 2014"
264200,"3 Mar, 2014"
261030,"17 Dec, 2013"
257510,"11 Dec, 2014"
257850,"31 Mar, 2016"
256290,"29 Apr, 2014"
254700,"27 Feb, 2014"
253430,"3 Feb, 2014"
252610,"21 Jul, 2016"
251150,"29 Jul, 2014"
251570,"25 Jul, 2024"
250260,"7 Feb, 2014"
250320,"11 Oct, 2013"
249130,"22 Oct, 2013"
248820,"8 Nov, 2013"
246900,"23 Oct, 2015"
244160,"25 Feb, 2015"
242680,"5 Dec, 2015"
242760,"30 Apr, 2018"
242920,"18 Feb, 2014"
241600,"27 Jun, 2013"
240720,"6 Dec, 2017"
239350,"8 Aug, 2013"
238430,"25 Oct, 2013"
239030,"8 Aug, 2013"
237930,"20 May, 2014"
238010,"25 Oct, 2013"
238090,"27 Jun, 2014"
238320,"4 Sep, 2013"
236090,"24 May, 2013"
235460,"9 Jan, 2014"
234650,"25 Jul, 2013"
233720,"19 Apr, 2013"
233860,"6 Dec, 2018"
234140,"1 Sep, 2015"
